Importance of eating a well-balanced diet	Reasons to eat a well balanced diet are several. It provides energy, builds and repairs body tissues, and regulates body processes. It is essential for preventing disease and for healing of disease. It is essential for emotional and physical well-being. MyPyramid program offers a personal eating plan with suggested foods and amount of food intake. They are not therapeutic diets for specific health conditions (see therapeutic diets teaching guides for specific health conditions. The program can track your food intake and physical activity level. They offer some basic advice when starting the program. It includes, making wise choices from every food group, finding a balance between food and physical activity, getting the most nutrition out of your calories, avoiding empty calories, staying within your daily calorie needs, making half your grains whole, varying your vegetables, focus on fruit selections, using calcium-rich foods, using lean proteins and finding a balance between food intake and physical activity. The US Department of Agriculture introduced this program in 2006. Methods to evaluate healthy weight are several, like, using Body mass index that was created to provide a measurement of weight that is not related to height. It is often used as an indicator of obesity. BMI of 25 to 29.5 is considered overweight. BMI over 30 is considered obese. Another method to evaluate a healthy weight is to use one of the height and weight tables. Adults and older children are measured standing. Infants and small children are measured lying on a flat surface. Dietary Guidelines presented by the Surgeon General of the United States, the US Department of agriculture, and the US Department of Human Resources in the year 2005 are several that include - eat a variety of foods, balance the food you eat with physical activity and maintain or improve your weight by engaging in 30 minutes of moderate intensity activity most days of the week, choose a diet with plenty of grain products, vegetables, and fruits. Daily suggested amounts per a 2000 calorie diet are 2 cups of fruit, 2.5 cups of vegetables, 3 or more servings of whole-grain products, 3 cups of fat-free or low-fat milk or milk products. It also includes choosing a diet low in fat, saturated fat, and cholesterol, consume less than 10% of calories from saturated fatty acids, limit intake of fats and oils high in saturated or trans fatty acids, consume less than 300 mg/day of cholesterol,  choose a diet moderate in sugars, choose and prepare foods/beverages with little added sugars, choose a diet moderate in salt and sugars, consume less than 2300 mg (approximately 1 teaspoon of salt) of sodium per day.
What are the reasons to eat a well-balanced diet	Reasons to eat a well balanced diet are several. It provides energy, builds and repairs body tissues, and regulates body processes. It is essential for preventing disease and for healing of disease. It is essential for emotional and physical well-being. MyPyramid program offers a personal eating plan with suggested foods and amount of food intake. They are not therapeutic diets for specific health conditions (see therapeutic diets teaching guides for specific health conditions. The program can track your food intake and physical activity level. They offer some basic advice when starting the program. It includes, making wise choices from every food group, finding a balance between food and physical activity, getting the most nutrition out of your calories, avoiding empty calories, staying within your daily calorie needs, making half your grains whole, varying your vegetables, focus on fruit selections, using calcium-rich foods, using lean proteins and finding a balance between food intake and physical activity. The US Department of Agriculture introduced this program in 2006. Methods to evaluate healthy weight are several, like, using Body mass index that was created to provide a measurement of weight that is not related to height. It is often used as an indicator of obesity. BMI of 25 to 29.5 is considered overweight. BMI over 30 is considered obese. Another method to evaluate a healthy weight is to use one of the height and weight tables. Adults and older children are measured standing. Infants and small children are measured lying on a flat surface. Dietary Guidelines presented by the Surgeon General of the United States, the US Department of agriculture, and the US Department of Human Resources in the year 2005 are several that include - eat a variety of foods, balance the food you eat with physical activity and maintain or improve your weight by engaging in 30 minutes of moderate intensity activity most days of the week, choose a diet with plenty of grain products, vegetables, and fruits. Daily suggested amounts per a 2000 calorie diet are 2 cups of fruit, 2.5 cups of vegetables, 3 or more servings of whole-grain products, 3 cups of fat-free or low-fat milk or milk products. It also includes choosing a diet low in fat, saturated fat, and cholesterol, consume less than 10% of calories from saturated fatty acids, limit intake of fats and oils high in saturated or trans fatty acids, consume less than 300 mg/day of cholesterol,  choose a diet moderate in sugars, choose and prepare foods/beverages with little added sugars, choose a diet moderate in salt and sugars, consume less than 2300 mg (approximately 1 teaspoon of salt) of sodium per day.
What is MyPyramid program?	Reasons to eat a well balanced diet are several. It provides energy, builds and repairs body tissues, and regulates body processes. It is essential for preventing disease and for healing of disease. It is essential for emotional and physical well-being. MyPyramid program offers a personal eating plan with suggested foods and amount of food intake. They are not therapeutic diets for specific health conditions (see therapeutic diets teaching guides for specific health conditions. The program can track your food intake and physical activity level. They offer some basic advice when starting the program. It includes, making wise choices from every food group, finding a balance between food and physical activity, getting the most nutrition out of your calories, avoiding empty calories, staying within your daily calorie needs, making half your grains whole, varying your vegetables, focus on fruit selections, using calcium-rich foods, using lean proteins and finding a balance between food intake and physical activity. The US Department of Agriculture introduced this program in 2006. Methods to evaluate healthy weight are several, like, using Body mass index that was created to provide a measurement of weight that is not related to height. It is often used as an indicator of obesity. BMI of 25 to 29.5 is considered overweight. BMI over 30 is considered obese. Another method to evaluate a healthy weight is to use one of the height and weight tables. Adults and older children are measured standing. Infants and small children are measured lying on a flat surface. Dietary Guidelines presented by the Surgeon General of the United States, the US Department of agriculture, and the US Department of Human Resources in the year 2005 are several that include - eat a variety of foods, balance the food you eat with physical activity and maintain or improve your weight by engaging in 30 minutes of moderate intensity activity most days of the week, choose a diet with plenty of grain products, vegetables, and fruits. Daily suggested amounts per a 2000 calorie diet are 2 cups of fruit, 2.5 cups of vegetables, 3 or more servings of whole-grain products, 3 cups of fat-free or low-fat milk or milk products. It also includes choosing a diet low in fat, saturated fat, and cholesterol, consume less than 10% of calories from saturated fatty acids, limit intake of fats and oils high in saturated or trans fatty acids, consume less than 300 mg/day of cholesterol,  choose a diet moderate in sugars, choose and prepare foods/beverages with little added sugars, choose a diet moderate in salt and sugars, consume less than 2300 mg (approximately 1 teaspoon of salt) of sodium per day.
What is Body Mass Index (BMI)?	Reasons to eat a well balanced diet are several. It provides energy, builds and repairs body tissues, and regulates body processes. It is essential for preventing disease and for healing of disease. It is essential for emotional and physical well-being. MyPyramid program offers a personal eating plan with suggested foods and amount of food intake. They are not therapeutic diets for specific health conditions (see therapeutic diets teaching guides for specific health conditions. The program can track your food intake and physical activity level. They offer some basic advice when starting the program. It includes, making wise choices from every food group, finding a balance between food and physical activity, getting the most nutrition out of your calories, avoiding empty calories, staying within your daily calorie needs, making half your grains whole, varying your vegetables, focus on fruit selections, using calcium-rich foods, using lean proteins and finding a balance between food intake and physical activity. The US Department of Agriculture introduced this program in 2006. Methods to evaluate healthy weight are several, like, using Body mass index that was created to provide a measurement of weight that is not related to height. It is often used as an indicator of obesity. BMI of 25 to 29.5 is considered overweight. BMI over 30 is considered obese. Another method to evaluate a healthy weight is to use one of the height and weight tables. Adults and older children are measured standing. Infants and small children are measured lying on a flat surface. Dietary Guidelines presented by the Surgeon General of the United States, the US Department of agriculture, and the US Department of Human Resources in the year 2005 are several that include - eat a variety of foods, balance the food you eat with physical activity and maintain or improve your weight by engaging in 30 minutes of moderate intensity activity most days of the week, choose a diet with plenty of grain products, vegetables, and fruits. Daily suggested amounts per a 2000 calorie diet are 2 cups of fruit, 2.5 cups of vegetables, 3 or more servings of whole-grain products, 3 cups of fat-free or low-fat milk or milk products. It also includes choosing a diet low in fat, saturated fat, and cholesterol, consume less than 10% of calories from saturated fatty acids, limit intake of fats and oils high in saturated or trans fatty acids, consume less than 300 mg/day of cholesterol,  choose a diet moderate in sugars, choose and prepare foods/beverages with little added sugars, choose a diet moderate in salt and sugars, consume less than 2300 mg (approximately 1 teaspoon of salt) of sodium per day.
How do you measure healthy weight?	Reasons to eat a well balanced diet are several. It provides energy, builds and repairs body tissues, and regulates body processes. It is essential for preventing disease and for healing of disease. It is essential for emotional and physical well-being. MyPyramid program offers a personal eating plan with suggested foods and amount of food intake. They are not therapeutic diets for specific health conditions (see therapeutic diets teaching guides for specific health conditions. The program can track your food intake and physical activity level. They offer some basic advice when starting the program. It includes, making wise choices from every food group, finding a balance between food and physical activity, getting the most nutrition out of your calories, avoiding empty calories, staying within your daily calorie needs, making half your grains whole, varying your vegetables, focus on fruit selections, using calcium-rich foods, using lean proteins and finding a balance between food intake and physical activity. The US Department of Agriculture introduced this program in 2006. Methods to evaluate healthy weight are several, like, using Body mass index that was created to provide a measurement of weight that is not related to height. It is often used as an indicator of obesity. BMI of 25 to 29.5 is considered overweight. BMI over 30 is considered obese. Another method to evaluate a healthy weight is to use one of the height and weight tables. Adults and older children are measured standing. Infants and small children are measured lying on a flat surface. Dietary Guidelines presented by the Surgeon General of the United States, the US Department of agriculture, and the US Department of Human Resources in the year 2005 are several that include - eat a variety of foods, balance the food you eat with physical activity and maintain or improve your weight by engaging in 30 minutes of moderate intensity activity most days of the week, choose a diet with plenty of grain products, vegetables, and fruits. Daily suggested amounts per a 2000 calorie diet are 2 cups of fruit, 2.5 cups of vegetables, 3 or more servings of whole-grain products, 3 cups of fat-free or low-fat milk or milk products. It also includes choosing a diet low in fat, saturated fat, and cholesterol, consume less than 10% of calories from saturated fatty acids, limit intake of fats and oils high in saturated or trans fatty acids, consume less than 300 mg/day of cholesterol,  choose a diet moderate in sugars, choose and prepare foods/beverages with little added sugars, choose a diet moderate in salt and sugars, consume less than 2300 mg (approximately 1 teaspoon of salt) of sodium per day.
What are the dietary guidelines suggested?	Reasons to eat a well balanced diet are several. It provides energy, builds and repairs body tissues, and regulates body processes. It is essential for preventing disease and for healing of disease. It is essential for emotional and physical well-being. MyPyramid program offers a personal eating plan with suggested foods and amount of food intake. They are not therapeutic diets for specific health conditions (see therapeutic diets teaching guides for specific health conditions. The program can track your food intake and physical activity level. They offer some basic advice when starting the program. It includes, making wise choices from every food group, finding a balance between food and physical activity, getting the most nutrition out of your calories, avoiding empty calories, staying within your daily calorie needs, making half your grains whole, varying your vegetables, focus on fruit selections, using calcium-rich foods, using lean proteins and finding a balance between food intake and physical activity. The US Department of Agriculture introduced this program in 2006. Methods to evaluate healthy weight are several, like, using Body mass index that was created to provide a measurement of weight that is not related to height. It is often used as an indicator of obesity. BMI of 25 to 29.5 is considered overweight. BMI over 30 is considered obese. Another method to evaluate a healthy weight is to use one of the height and weight tables. Adults and older children are measured standing. Infants and small children are measured lying on a flat surface. Dietary Guidelines presented by the Surgeon General of the United States, the US Department of agriculture, and the US Department of Human Resources in the year 2005 are several that include - eat a variety of foods, balance the food you eat with physical activity and maintain or improve your weight by engaging in 30 minutes of moderate intensity activity most days of the week, choose a diet with plenty of grain products, vegetables, and fruits. Daily suggested amounts per a 2000 calorie diet are 2 cups of fruit, 2.5 cups of vegetables, 3 or more servings of whole-grain products, 3 cups of fat-free or low-fat milk or milk products. It also includes choosing a diet low in fat, saturated fat, and cholesterol, consume less than 10% of calories from saturated fatty acids, limit intake of fats and oils high in saturated or trans fatty acids, consume less than 300 mg/day of cholesterol,  choose a diet moderate in sugars, choose and prepare foods/beverages with little added sugars, choose a diet moderate in salt and sugars, consume less than 2300 mg (approximately 1 teaspoon of salt) of sodium per day.
What are the general nutritional tips for children?	General nutritional tips for children are - engage in 60 minutes of physical activity most days of the week, at least half of grains consumed should be whole grains. Children 2 to 8 years old should consume 2 cups of fat-free or low-fat milk products. Children over 9 years old should consume 3 cups of milk or milk products daily, consume most fats coming from poly unsaturated and mono unsaturated fatty acids, such as fish, nuts, and vegetable oils, obtain sufficient amounts of fiber, but avoid excessive amounts of added sugars, do not eat or drink raw milk or raw milk products, raw eggs, raw or undercooked meats, poultry or fish, unpasteurized juice, or raw sprouts. Women of childbearing age who may become pregnant or are pregnant and breastfeeding women should eat foods high in heme iron, iron-rich plant foods, or iron-fortified foods, include vitamin C rich foods to aid in iron absorption, consume adequate amounts of folic acid from fortified foods or supplements, eat only certain deli meats and frankfurters that have been reheated to steaming hot and avoid raw milk or raw milk products. Older adults should consume extra vitamin D from fortified foods, increase dietary fiber to prevent constipation. limit intake of sodium per day to no more than 1500 mg and eat foods with potassium recommendations of 4700 mg/day.
what tips do you suggest for adult nutrition?	General nutritional tips for children are - engage in 60 minutes of physical activity most days of the week, at least half of grains consumed should be whole grains. Children 2 to 8 years old should consume 2 cups of fat-free or low-fat milk products. Children over 9 years old should consume 3 cups of milk or milk products daily, consume most fats coming from poly unsaturated and mono unsaturated fatty acids, such as fish, nuts, and vegetable oils, obtain sufficient amounts of fiber, but avoid excessive amounts of added sugars, do not eat or drink raw milk or raw milk products, raw eggs, raw or undercooked meats, poultry or fish, unpasteurized juice, or raw sprouts. Women of childbearing age who may become pregnant or are pregnant and breastfeeding women should eat foods high in heme iron, iron-rich plant foods, or iron-fortified foods, include vitamin C rich foods to aid in iron absorption, consume adequate amounts of folic acid from fortified foods or supplements, eat only certain deli meats and frankfurters that have been reheated to steaming hot and avoid raw milk or raw milk products. Older adults should consume extra vitamin D from fortified foods, increase dietary fiber to prevent constipation. limit intake of sodium per day to no more than 1500 mg and eat foods with potassium recommendations of 4700 mg/day.
What are the benefits of exercise?	Exercise strengthens your cardiovascular and respiratory systems, promotes feeling of emotional well-being and improved self-esteem, keeps bones and muscles strong, manages weight, prevents and manages diabetes, eases depression and manages pain and stress, It lowers the risk of colon, prostate, uterus, and breast cancer. It improves sleep habits and increases energy. There are four recommended types of exercise with four basic fitness components. They are cardiorespiratory endurance (examples are long runs and swims), muscular strength (weight-lifting exercises are an example), muscular endurance (pushups are a common example) and flexibility (using muscles to complete a full range of motion is an example). Each workout should begin with a warmup. General rules for exercise are to first get approval from a physician before beginning exercise program. If over 35 years old and sedentary or has a cardiovascular problem, then stop exercise, and notify a physician if chest pain, dizziness, or fainting occurs. Drink plenty of water before, during, and after the workout. Dress in loose-fitting clothing to permit freedom of movement. Wear supportive shoes. Wait 90 minutes after a meal to exercise. Avoid exercising in very hot or humid weather. Decrease the intensity of exercise if unable to hold a conversation during exercise. Have fun while exercising. Exercise with someone or with a group. Set realistic goals. Give yourself rewards for meeting those goals.
What are the recommended types of exercise?	Exercise strengthens your cardiovascular and respiratory systems, promotes feeling of emotional well-being and improved self-esteem, keeps bones and muscles strong, manages weight, prevents and manages diabetes, eases depression and manages pain and stress, It lowers the risk of colon, prostate, uterus, and breast cancer. It improves sleep habits and increases energy. There are four recommended types of exercise with four basic fitness components. They are cardiorespiratory endurance (examples are long runs and swims), muscular strength (weight-lifting exercises are an example), muscular endurance (pushups are a common example) and flexibility (using muscles to complete a full range of motion is an example). Each workout should begin with a warmup. General rules for exercise are to first get approval from a physician before beginning exercise program. If over 35 years old and sedentary or has a cardiovascular problem, then stop exercise, and notify a physician if chest pain, dizziness, or fainting occurs. Drink plenty of water before, during, and after the workout. Dress in loose-fitting clothing to permit freedom of movement. Wear supportive shoes. Wait 90 minutes after a meal to exercise. Avoid exercising in very hot or humid weather. Decrease the intensity of exercise if unable to hold a conversation during exercise. Have fun while exercising. Exercise with someone or with a group. Set realistic goals. Give yourself rewards for meeting those goals.
